Serial_Number,Operator,Trial,Acceleration_m_s2,Status
SNJ8BV6N4M,Operator_A,1,1.22,OK
SNJ8BV6N4M,Operator_A,2,1.19,OK
SNJ8BV6N4M,Operator_A,3,1.25,OK
SNT5KC9P7V,Operator_A,1,1.35,OK
SNT5KC9P7V,Operator_A,2,1.32,OK
SNT5KC9P7V,Operator_A,3,1.38,OK
SNY1LP8D3Z,Operator_A,1,1.65,OK
SNY1LP8D3Z,Operator_A,2,1.62,OK
SNY1LP8D3Z,Operator_A,3,1.67,OK
SNQ3HD7F2X,Operator_A,1,1.15,OK
SNQ3HD7F2X,Operator_A,2,1.12,OK
SNQ3HD7F2X,Operator_A,3,1.18,OK
SN4QHWUYLL,Operator_B,1,1.47,OK
SN4QHWUYLL,Operator_B,2,1.44,OK
SN4QHWUYLL,Operator_B,3,1.41,OK
SNW8MX023R,Operator_B,1,2.57,NG
SNW8MX023R,Operator_B,2,2.54,NG
SNW8MX023R,Operator_B,3,2.51,NG
SNZLSH8E3G,Operator_B,1,1.17,OK
SNZLSH8E3G,Operator_B,2,1.14,OK
SNZLSH8E3G,Operator_B,3,1.11,OK
SNK9PL2R4X,Operator_B,1,1.67,OK
SNK9PL2R4X,Operator_B,2,2.66,NG
SNK9PL2R4X,Operator_B,3,1.61,OK
SNV3QMN7DF,Operator_B,1,2.09,OK
SNV3QMN7DF,Operator_B,2,2.04,OK
SNV3QMN7DF,Operator_B,3,2.59,NG
SNB2RT8Y5H,Operator_B,1,1.33,OK
SNB2RT8Y5H,Operator_B,2,1.30,OK
SNB2RT8Y5H,Operator_B,3,1.27,OK
SN7CXW9E2P,Operator_B,1,2.57,NG
SN7CXW9E2P,Operator_B,2,2.54,NG
SN7CXW9E2P,Operator_B,3,2.51,NG
SNL5MK4D9N,Operator_B,1,1.23,OK
SNL5MK4D9N,Operator_B,2,1.20,OK
SNL5MK4D9N,Operator_B,3,1.17,OK
SNP8QZ3F6J,Operator_B,1,1.57,OK
SNP8QZ3F6J,Operator_B,2,1.54,OK
SNP8QZ3F6J,Operator_B,3,1.51,OK
SN6TYV1G7K,Operator_B,1,2.19,OK
SN6TYV1G7K,Operator_B,2,2.14,OK
SN6TYV1G7K,Operator_B,3,2.11,OK
SNM2DK5H8L,Operator_B,1,1.13,OK
SNM2DK5H8L,Operator_B,2,1.10,OK
SNM2DK5H8L,Operator_B,3,1.07,OK
SN9FGN3R2W,Operator_B,1,1.77,OK
SN9FGN3R2W,Operator_B,2,1.74,OK
SN9FGN3R2W,Operator_B,3,1.71,OK
SNR4XS7T5Q,Operator_B,1,1.79,OK
SNR4XS7T5Q,Operator_B,2,2.78,NG
SNR4XS7T5Q,Operator_B,3,1.71,OK
SNJ8BV6N4M,Operator_B,1,1.27,OK
SNJ8BV6N4M,Operator_B,2,1.24,OK
SNJ8BV6N4M,Operator_B,3,1.21,OK
SNT5KC9P7V,Operator_B,1,1.40,OK
SNT5KC9P7V,Operator_B,2,1.37,OK
SNT5KC9P7V,Operator_B,3,1.34,OK
SNY1LP8D3Z,Operator_B,1,1.69,OK
SNY1LP8D3Z,Operator_B,2,1.64,OK
SNY1LP8D3Z,Operator_B,3,1.61,OK
SNQ3HD7F2X,Operator_B,1,1.20,OK
SNQ3HD7F2X,Operator_B,2,1.17,OK
SNQ3HD7F2X,Operator_B,3,1.14,OK
SN4QHWUYLL,Operator_C,1,1.38,OK
SN4QHWUYLL,Operator_C,2,1.43,OK
SN4QHWUYLL,Operator_C,3,1.40,OK
SNW8MX023R,Operator_C,1,2.58,NG
SNW8MX023R,Operator_C,2,2.53,NG
SNW8MX023R,Operator_C,3,2.50,NG
SNZLSH8E3G,Operator_C,1,1.08,OK
SNZLSH8E3G,Operator_C,2,1.13,OK
SNZLSH8E3G,Operator_C,3,1.10,OK
SNK9PL2R4X,Operator_C,1,1.58,OK
SNK9PL2R4X,Operator_C,2,2.57,NG
SNK9PL2R4X,Operator_C,3,1.60,OK
SNV3QMN7DF,Operator_C,1,2.03,OK
SNV3QMN7DF,Operator_C,2,2.06,OK
SNV3QMN7DF,Operator_C,3,2.60,NG
SNB2RT8Y5H,Operator_C,1,1.24,OK
SNB2RT8Y5H,Operator_C,2,1.29,OK
SNB2RT8Y5H,Operator_C,3,1.26,OK
SN7CXW9E2P,Operator_C,1,2.58,NG
SN7CXW9E2P,Operator_C,2,2.53,NG
SN7CXW9E2P,Operator_C,3,2.50,NG
SNL5MK4D9N,Operator_C,1,1.14,OK
SNL5MK4D9N,Operator_C,2,1.19,OK
SNL5MK4D9N,Operator_C,3,1.16,OK
SNP8QZ3F6J,Operator_C,1,1.48,OK
SNP8QZ3F6J,Operator_C,2,1.53,OK
SNP8QZ3F6J,Operator_C,3,1.50,OK
SN6TYV1G7K,Operator_C,1,2.13,OK
SN6TYV1G7K,Operator_C,2,2.16,OK
SN6TYV1G7K,Operator_C,3,2.10,OK
SNM2DK5H8L,Operator_C,1,1.04,OK
SNM2DK5H8L,Operator_C,2,1.09,OK
SNM2DK5H8L,Operator_C,3,1.06,OK
SN9FGN3R2W,Operator_C,1,1.68,OK
SN9FGN3R2W,Operator_C,2,1.73,OK
SN9FGN3R2W,Operator_C,3,1.70,OK
SNR4XS7T5Q,Operator_C,1,1.73,OK
SNR4XS7T5Q,Operator_C,2,2.72,NG
SNR4XS7T5Q,Operator_C,3,1.70,OK
SNJ8BV6N4M,Operator_C,1,1.18,OK
SNJ8BV6N4M,Operator_C,2,1.23,OK
SNJ8BV6N4M,Operator_C,3,1.20,OK
SNT5KC9P7V,Operator_C,1,1.31,OK
SNT5KC9P7V,Operator_C,2,1.36,OK
SNT5KC9P7V,Operator_C,3,1.33,OK
SNY1LP8D3Z,Operator_C,1,1.63,OK
SNY1LP8D3Z,Operator_C,2,1.66,OK
SNY1LP8D3Z,Operator_C,3,1.60,OK
SNQ3HD7F2X,Operator_C,1,1.11,OK
SNQ3HD7F2X,Operator_C,2,1.16,OK
SNQ3HD7F2X,Operator_C,3,1.13,OK
